CMDLINE python read_sort.py -i data/ecoli_100Kb_reads_20x.fasta -m pca_sort -cs 20000 -c data/headerless/ecoli_100Kb_reads_20x.fasta.headerless.gz --delete_output True
MEM 2.113281 1670259309.9383
MEM 18.480469 1670259310.0424
MEM 31.410156 1670259310.1534
MEM 42.957031 1670259310.2644
MEM 48.550781 1670259310.3754
MEM 48.617188 1670259310.4865
MEM 49.359375 1670259310.5985
MEM 57.691406 1670259310.7095
MEM 67.675781 1670259310.8215
MEM 75.312500 1670259310.9336
MEM 85.976562 1670259311.0446
MEM 88.761719 1670259311.1556
MEM 91.652344 1670259311.2676
MEM 104.035156 1670259311.3787
MEM 100.296875 1670259311.4897
MEM 92.464844 1670259311.6007
MEM 92.468750 1670259311.7127
MEM 92.468750 1670259311.8248
MEM 92.468750 1670259311.9368
MEM 92.421875 1670259312.0488
MEM 92.421875 1670259312.1588
MEM 92.421875 1670259312.2709
MEM 92.421875 1670259312.3819
MEM 88.792969 1670259312.4929
